Area Name,Year,Month,Labor Force,Employment,Unemployment,Unemployment Rate,County,Region
"Fresno, CA MSA",2022,September,"513,240","479,823","33,417",6.5%,Fresno County,Central Valley
"Fresno, CA MSA",2022,October,"514,818","480,910","33,908",6.6%,Fresno County,Central Valley
"Fresno, CA MSA",2022,November,"516,298","481,842","34,456",6.7%,Fresno County,Central Valley
"Fresno, CA MSA",2022,December,"517,659","482,611","35,048",6.8%,Fresno County,Central Valley
"Fresno, CA MSA",2023,January,"519,046","483,302","35,744",6.9%,Fresno County,Central Valley
"Fresno, CA MSA",2023,February,"520,578","484,068","36,510",7.0%,Fresno County,Central Valley
"Fresno, CA MSA",2023,March,"522,247","484,962","37,285",7.1%,Fresno County,Central Valley
"Fresno, CA MSA",2023,April,"523,983","485,985","37,998",7.3%,Fresno County,Central Valley
"Fresno, CA MSA",2023,May,"525,681","487,059","38,622",7.3%,Fresno County,Central Valley
"Fresno, CA MSA",2023,June,"527,268","488,139","39,129",7.4%,Fresno County,Central Valley
"Fresno, CA MSA",2023,July,"528,720","489,162","39,558",7.5%,Fresno County,Central Valley
"Fresno, CA MSA",2023,August,"530,053","490,107","39,946",7.5%,Fresno County,Central Valley
"Fresno, CA MSA",2023,September,"531,287","490,992","40,295",7.6%,Fresno County,Central Valley
"Fresno, CA MSA",2023,October,"532,185","491,604","40,581",7.6%,Fresno County,Central Valley
"Fresno, CA MSA",2023,November,"532,819","491,992","40,827",7.7%,Fresno County,Central Valley
"Fresno, CA MSA",2023,December,"533,346","492,289","41,057",7.7%,Fresno County,Central Valley
"Fresno, CA MSA",2024,January,"533,799","492,564","41,235",7.7%,Fresno County,Central Valley
"Fresno, CA MSA",2024,February,"534,354","492,901","41,453",7.8%,Fresno County,Central Valley
"Fresno, CA MSA",2024,March,"535,175","493,399","41,776",7.8%,Fresno County,Central Valley
"Fresno, CA MSA",2024,April,"536,298","494,131","42,167",7.9%,Fresno County,Central Valley
"Fresno, CA MSA",2024,May,"537,609","495,058","42,551",7.9%,Fresno County,Central Valley
"Fresno, CA MSA",2024,June,"538,876","496,006","42,870",8.0%,Fresno County,Central Valley
"Fresno, CA MSA",2024,July,"539,988","496,910","43,078",8.0%,Fresno County,Central Valley
"Fresno, CA MSA",2024,August,"540,848","497,686","43,162",8.0%,Fresno County,Central Valley
"Fresno, CA MSA",2024,September,"541,467","498,326","43,141",8.0%,Fresno County,Central Valley
"Fresno, CA MSA",2024,October,"541,851","498,796","43,055",7.9%,Fresno County,Central Valley
"Fresno, CA MSA",2024,November,"541,843","498,851","42,992",7.9%,Fresno County,Central Valley
"Fresno, CA MSA",2024,December,"541,746","498,774","42,972",7.9%,Fresno County,Central Valley
"Fresno, CA MSA",2025,January,"542,970","500,348","42,622",7.8%,Fresno County,Central Valley
"Fresno, CA MSA",2025,February,"544,302","501,836","42,466",7.8%,Fresno County,Central Valley
"Fresno, CA MSA",2025,March,"546,379","503,902","42,477",7.8%,Fresno County,Central Valley
"Fresno, CA MSA",2025,April,"548,425","505,510","42,915",7.8%,Fresno County,Central Valley
"Fresno, CA MSA",2025,May,"550,533","506,820","43,713",7.9%,Fresno County,Central Valley
"Fresno, CA MSA",2025,June,"551,942","507,214","44,728",8.1%,Fresno County,Central Valley
"Hanford-Corcoran, CA MSA",2015,January,"57,782","51,429","6,353",11.0%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2015,February,"57,817","51,541","6,276",10.9%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2015,March,"57,880","51,669","6,211",10.7%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2015,April,"57,947","51,792","6,155",10.6%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2015,May,"57,981","51,878","6,103",10.5%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2015,June,"57,944","51,887","6,057",10.5%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2015,July,"57,855","51,837","6,018",10.4%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2015,August,"57,737","51,749","5,988",10.4%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2015,September,"57,618","51,652","5,966",10.4%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2015,October,"57,537","51,575","5,962",10.4%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2015,November,"57,507","51,537","5,970",10.4%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2015,December,"57,510","51,543","5,967",10.4%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2016,January,"55,704","49,767","5,937",10.7%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2016,February,"55,740","49,853","5,887",10.6%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2016,March,"55,762","49,932","5,830",10.5%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2016,April,"55,758","49,976","5,782",10.4%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2016,May,"55,715","49,959","5,756",10.3%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2016,June,"55,641","49,898","5,743",10.3%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2016,July,"55,566","49,823","5,743",10.3%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2016,August,"55,515","49,760","5,755",10.4%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2016,September,"55,518","49,742","5,776",10.4%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2016,October,"55,578","49,784","5,794",10.4%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2016,November,"55,663","49,868","5,795",10.4%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2016,December,"55,748","49,974","5,774",10.4%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2017,January,"55,808","50,089","5,719",10.2%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2017,February,"55,841","50,214","5,627",10.1%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2017,March,"55,862","50,352","5,510",9.9%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2017,April,"55,876","50,486","5,390",9.6%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2017,May,"55,892","50,612","5,280",9.4%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2017,June,"55,897","50,712","5,185",9.3%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2017,July,"55,877","50,766","5,111",9.1%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2017,August,"55,823","50,778","5,045",9.0%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2017,September,"55,754","50,781","4,973",8.9%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2017,October,"55,708","50,820","4,888",8.8%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2017,November,"55,710","50,908","4,802",8.6%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2017,December,"55,765","51,037","4,728",8.5%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2018,January,"55,835","51,158","4,677",8.4%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2018,February,"55,853","51,206","4,647",8.3%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2018,March,"55,790","51,163","4,627",8.3%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2018,April,"55,658","51,051","4,607",8.3%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2018,May,"55,473","50,889","4,584",8.3%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2018,June,"55,272","50,718","4,554",8.2%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2018,July,"55,125","50,613","4,512",8.2%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2018,August,"55,082","50,598","4,484",8.1%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2018,September,"55,136","50,647","4,489",8.1%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2018,October,"55,262","50,728","4,534",8.2%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2018,November,"55,444","50,829","4,615",8.3%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2018,December,"55,651","50,945","4,706",8.5%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2019,January,"55,841","51,068","4,773",8.5%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2019,February,"55,964","51,175","4,789",8.6%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2019,March,"55,980","51,224","4,756",8.5%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2019,April,"55,898","51,211","4,687",8.4%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2019,May,"55,782","51,174","4,608",8.3%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2019,June,"55,690","51,139","4,551",8.2%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2019,July,"55,642","51,112","4,530",8.1%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2019,August,"55,634","51,095","4,539",8.2%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2019,September,"55,675","51,106","4,569",8.2%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2019,October,"55,722","51,115","4,607",8.3%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2019,November,"55,717","51,081","4,636",8.3%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2019,December,"55,617","50,959","4,658",8.4%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2020,January,"55,451","50,773","4,678",8.4%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2020,February,"55,313","50,612","4,701",8.5%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2020,March,"58,002","50,558","7,444",12.8%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2020,April,"56,306","46,497","9,809",17.4%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2020,May,"55,754","46,660","9,094",16.3%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2020,June,"54,296","46,886","7,410",13.6%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2020,July,"54,119","47,122","6,997",12.9%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2020,August,"54,017","47,350","6,667",12.3%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2020,September,"53,952","47,560","6,392",11.8%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2020,October,"53,899","47,747","6,152",11.4%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2020,November,"53,858","47,906","5,952",11.1%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2020,December,"53,838","48,036","5,802",10.8%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2021,January,"53,844","48,123","5,721",10.6%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2021,February,"53,847","48,136","5,711",10.6%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2021,March,"53,856","48,100","5,756",10.7%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2021,April,"53,889","48,059","5,830",10.8%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2021,May,"53,950","48,066","5,884",10.9%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2021,June,"54,008","48,128","5,880",10.9%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2021,July,"54,011","48,242","5,769",10.7%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2021,August,"53,943","48,394","5,549",10.3%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2021,September,"53,832","48,565","5,267",9.8%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2021,October,"53,743","48,774","4,969",9.2%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2021,November,"53,726","49,044","4,682",8.7%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2021,December,"53,788","49,361","4,427",8.2%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2022,January,"53,893","49,676","4,217",7.8%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2022,February,"54,010","49,957","4,053",7.5%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2022,March,"54,111","50,176","3,935",7.3%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2022,April,"54,206","50,346","3,860",7.1%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2022,May,"54,301","50,473","3,828",7.0%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2022,June,"54,422","50,574","3,848",7.1%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2022,July,"54,602","50,684","3,918",7.2%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2022,August,"54,801","50,790","4,011",7.3%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2022,September,"54,989","50,893","4,096",7.4%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2022,October,"55,181","51,002","4,179",7.6%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2022,November,"55,366","51,106","4,260",7.7%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2022,December,"55,547","51,210","4,337",7.8%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2023,January,"55,749","51,332","4,417",7.9%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2023,February,"55,971","51,469","4,502",8.0%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2023,March,"56,174","51,587","4,587",8.2%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2023,April,"56,332","51,667","4,665",8.3%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2023,May,"56,474","51,736","4,738",8.4%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2023,June,"56,641","51,841","4,800",8.5%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2023,July,"56,853","51,992","4,861",8.6%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2023,August,"57,118","52,195","4,923",8.6%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2023,September,"57,404","52,425","4,979",8.7%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2023,October,"57,641","52,623","5,018",8.7%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2023,November,"57,799","52,756","5,043",8.7%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2023,December,"57,874","52,817","5,057",8.7%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2024,January,"57,878","52,823","5,055",8.7%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2024,February,"57,875","52,818","5,057",8.7%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2024,March,"57,926","52,850","5,076",8.8%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2024,April,"58,035","52,921","5,114",8.8%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2024,May,"58,181","53,014","5,167",8.9%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2024,June,"58,331","53,107","5,224",9.0%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2024,July,"58,480","53,208","5,272",9.0%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2024,August,"58,617","53,316","5,301",9.0%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2024,September,"58,723","53,417","5,306",9.0%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2024,October,"58,789","53,500","5,289",9.0%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2024,November,"58,788","53,515","5,273",9.0%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2024,December,"58,775","53,509","5,266",9.0%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2025,January,"58,886","53,666","5,220",8.9%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2025,February,"58,964","53,801","5,163",8.8%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2025,March,"59,144","54,002","5,142",8.7%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2025,April,"59,277","54,085","5,192",8.8%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2025,May,"59,341","54,061","5,280",8.9%,Kings County,Central Valley
"Hanford-Corcoran, CA MSA",2025,June,"59,358","53,977","5,381",9.1%,Kings County,Central Valley
"Los Angeles-Long Beach-Anaheim, CA MSA",2015,January,"6,589,409","6,132,097","457,312",6.9%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2015,February,"6,588,046","6,138,406","449,640",6.8%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2015,March,"6,588,029","6,145,689","442,340",6.7%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2015,April,"6,587,507","6,153,360","434,147",6.6%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2015,May,"6,584,412","6,160,257","424,155",6.4%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2015,June,"6,578,292","6,166,269","412,023",6.3%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2015,July,"6,570,397","6,171,479","398,918",6.1%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2015,August,"6,562,839","6,176,571","386,268",5.9%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2015,September,"6,558,657","6,184,031","374,626",5.7%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2015,October,"6,561,074","6,196,557","364,517",5.6%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2015,November,"6,570,845","6,214,650","356,195",5.4%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2015,December,"6,584,405","6,235,859","348,546",5.3%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2016,January,"6,597,700","6,256,577","341,123",5.2%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2016,February,"6,609,173","6,274,510","334,663",5.1%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2016,March,"6,618,438","6,288,972","329,466",5.0%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2016,April,"6,627,306","6,300,623","326,683",4.9%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2016,May,"6,638,048","6,310,799","327,249",4.9%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2016,June,"6,650,537","6,320,112","330,425",5.0%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2016,July,"6,663,935","6,329,521","334,414",5.0%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2016,August,"6,676,473","6,339,045","337,428",5.1%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2016,September,"6,685,814","6,347,341","338,473",5.1%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2016,October,"6,691,015","6,354,528","336,487",5.0%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2016,November,"6,693,296","6,362,042","331,254",4.9%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2016,December,"6,694,732","6,370,920","323,812",4.8%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2017,January,"6,696,944","6,381,174","315,770",4.7%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2017,February,"6,700,610","6,392,209","308,401",4.6%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2017,March,"6,706,030","6,402,543","303,487",4.5%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2017,April,"6,713,915","6,412,290","301,625",4.5%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2017,May,"6,723,771","6,421,997","301,774",4.5%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2017,June,"6,734,119","6,431,496","302,623",4.5%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2017,July,"6,743,368","6,440,289","303,079",4.5%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2017,August,"6,749,522","6,447,413","302,109",4.5%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2017,September,"6,751,782","6,452,210","299,572",4.4%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2017,October,"6,750,517","6,454,711","295,806",4.4%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2017,November,"6,747,389","6,455,501","291,888",4.3%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2017,December,"6,744,353","6,455,976","288,377",4.3%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2018,January,"6,743,260","6,457,088","286,172",4.2%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2018,February,"6,745,301","6,459,929","285,372",4.2%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2018,March,"6,749,428","6,464,242","285,186",4.2%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2018,April,"6,752,690","6,467,762","284,928",4.2%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2018,May,"6,753,658","6,468,825","284,833",4.2%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2018,June,"6,753,465","6,468,468","284,997",4.2%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2018,July,"6,753,550","6,468,288","285,262",4.2%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2018,August,"6,755,696","6,469,585","286,111",4.2%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2018,September,"6,760,131","6,472,925","287,206",4.2%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2018,October,"6,765,764","6,477,661","288,103",4.3%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2018,November,"6,770,245","6,481,730","288,515",4.3%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2018,December,"6,771,597","6,483,683","287,914",4.3%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2019,January,"6,768,935","6,482,922","286,013",4.2%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2019,February,"6,762,822","6,480,131","282,691",4.2%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2019,March,"6,756,057","6,477,177","278,880",4.1%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2019,April,"6,752,907","6,477,593","275,314",4.1%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2019,May,"6,755,730","6,482,803","272,927",4.0%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2019,June,"6,765,184","6,492,951","272,233",4.0%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2019,July,"6,779,820","6,506,962","272,858",4.0%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2019,August,"6,797,627","6,523,714","273,913",4.0%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2019,September,"6,817,551","6,541,776","275,775",4.0%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2019,October,"6,838,728","6,559,770","278,958",4.1%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2019,November,"6,860,616","6,577,503","283,113",4.1%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2019,December,"6,882,582","6,594,481","288,101",4.2%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2020,January,"6,902,290","6,610,171","292,119",4.2%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2020,February,"6,916,784","6,624,366","292,418",4.2%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2020,March,"6,619,650","6,217,692","401,958",6.1%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2020,April,"6,357,204","5,309,488","1,047,716",16.5%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2020,May,"6,246,360","5,110,642","1,135,718",18.2%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2020,June,"6,559,513","5,480,942","1,078,571",16.4%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2020,July,"6,634,076","5,538,309","1,095,767",16.5%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2020,August,"6,639,155","5,650,561","988,594",14.9%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2020,September,"6,354,986","5,670,221","684,765",10.8%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2020,October,"6,453,085","5,789,529","663,556",10.3%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2020,November,"6,436,082","5,785,082","651,000",10.1%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2020,December,"6,437,981","5,793,454","644,527",10.0%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2021,January,"6,454,041","5,812,520","641,521",9.9%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2021,February,"6,479,976","5,840,886","639,090",9.9%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2021,March,"6,511,643","5,877,806","633,837",9.7%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2021,April,"6,542,837","5,920,258","622,579",9.5%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2021,May,"6,568,824","5,964,558","604,266",9.2%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2021,June,"6,588,256","6,008,461","579,795",8.8%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2021,July,"6,600,337","6,051,558","548,779",8.3%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2021,August,"6,607,307","6,094,231","513,076",7.8%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2021,September,"6,612,928","6,135,653","477,275",7.2%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2021,October,"6,618,961","6,174,687","444,274",6.7%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2021,November,"6,625,209","6,210,264","414,945",6.3%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2021,December,"6,630,546","6,241,175","389,371",5.9%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2022,January,"6,633,731","6,266,263","367,468",5.5%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2022,February,"6,633,439","6,285,792","347,647",5.2%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2022,March,"6,627,853","6,299,053","328,800",5.0%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2022,April,"6,618,558","6,308,174","310,384",4.7%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2022,May,"6,608,504","6,315,042","293,462",4.4%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2022,June,"6,599,663","6,319,436","280,227",4.2%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2022,July,"6,594,710","6,321,919","272,791",4.1%,Unknown,Unknown
"Los Angeles-Long Beach-Anaheim, CA MSA",2022,August,"6,595,029","6,324,269","270,760",4.1%,Unknown,Unknown
