#,Image,Name,Description,Common Locations,Recoverable Materials
149,https://www.zeldadungeon.net/wiki/images/thumb/5/54/Black-hinox.jpg/72px-Black-hinox.jpg,Black Hinox,"The largest monster to make its home in Hyrule, the Hinox lives primarily in forested areas. A keen awareness of your surroundings is paramount when facing one, as Hinox are known for tearing entire trees from the ground and using them as weapons. Black Hinox wear metal greaves that conduct electricity rather well. A deft hand can steal weapons off the necklaces they wear.","East Necluda,Hyrule Field","Hinox Toenail,Hinox Tooth,Hinox Guts,Seared Steak,Seared Prime Steak,Seared Gourmet Steak,Roasted Bird Drumstick,Roasted Bird Thigh,Roasted Whole Bird"
150,https://www.zeldadungeon.net/wiki/images/thumb/f/f0/Stalnox.jpg/72px-Stalnox.jpg,Stalnox,"The mere remains of what was once a giant monster known as a Hinox. These skeletal beasts appear at nighttime. Much like their living counterparts, the Stalnox will tear entire trees from the ground to use as weapons. Furthermore, even if it appears defeated at first, it will keep coming back for more as long as its eye is left intact.","Hyrule Field,West Necluda",Hinox Tooth
151,https://www.zeldadungeon.net/wiki/images/thumb/b/b8/Molduga.jpg/72px-Molduga.jpg,Molduga,"This massive monster swims beneath the desert's sand. It spends most of its time submerged, but if it senses sound, it will breach the surface to feast on whatever it can grab. Running around carelessly can be dangerous if you suspect there may be one in the area.",Gerudo Desert,"Molduga Fin,Molduga Guts"
152,https://www.zeldadungeon.net/wiki/images/thumb/a/af/Molduking.jpg/72px-Molduking.jpg,Molduking,"This massive monster swims beneath the desert's sand. It is a subspecies of Molduga that stored up a great deal of energy by sleeping underground for hundreds of years. Its power is superior to Molduga, as its skin is rich with iron and acts as a protective shield.",Unknown,Treasures
153,https://www.zeldadungeon.net/wiki/images/thumb/5/52/Dinraal.jpg/72px-Dinraal.jpg,Dinraal,"A spirit of fire has taken the form of this giant dragon. Making its home in the Eldin region, it's said to have served the Spring of Power since ancient times. An old saying goes, ""The dragon ascends to the heavens as the sun begins to set,"" but nobody has witnessed this in the current age. The flames that coat its body make it dangerous to get near, but Dinraal bears no ill will toward people.","Eldin Mountains,Tabantha Frontier",Unknown
154,https://www.zeldadungeon.net/wiki/images/thumb/2/28/Naydra.jpg/72px-Naydra.jpg,Naydra,"A spirit of ice has taken the form of this giant dragon. Making its home in the Lanayru region, it's said to have served the Spring of Wisdom since ancient times. An old saying goes, ""The dragon ascends to the heavens as the sun begins to set,"" but nobody has seen this in the current age. The ice that coats its body makes it dangerous to get near, but Naydra bears no ill will toward people.",Mount Lanayru,Unknown
155,https://www.zeldadungeon.net/wiki/images/thumb/4/42/Farosh.jpg/72px-Farosh.jpg,Farosh,"A spirit of lightning has taken the form of this giant dragon. Making its home in the Faron region, it's said to have served the Spring of Courage since ancient times. An old saying goes, ""The dragon ascends to the heavens as the sun begins to set,"" but nobody has seen this in the current age. The electricity that coats its body makes it dangerous to get near, but Farosh bears no ill will toward people.","Lake Hylia,Lake Floria",Unknown
156,https://www.zeldadungeon.net/wiki/images/thumb/7/7f/Cursed-bokoblin.jpg/72px-Cursed-bokoblin.jpg,Cursed Bokoblin,"The Malice has given these Bokoblin skulls a sort of life. Devoid of any intelligence the Bokoblin it once belonged to may have had, these pitiful things now exist only to attack anything that gets too close.",Unknown,None
157,https://www.zeldadungeon.net/wiki/images/thumb/2/24/Cursed-moblin.jpg/72px-Cursed-moblin.jpg,Cursed Moblin,"The Malice has given these Moblin skulls a pitiful life after death. The only fragment of their former selves they've held on to is the ferocity innate to all Moblins, so they will attack anyone that approaches.",Unknown,None
158,https://www.zeldadungeon.net/wiki/images/thumb/5/5c/Cursed_Lizalfos.jpg/72px-Cursed_Lizalfos.jpg,Cursed Lizalfos,"The Malice has given these Lizalfos skulls a sorry form of life after death. Only the slyness of their former selves remains, making them faster than Bokoblin skulls. They thoughtlessly attack anyone who approaches.",Unknown,None
159,https://www.zeldadungeon.net/wiki/images/thumb/4/42/Thunderblight-ganon.jpg/72px-Thunderblight-ganon.jpg,Thunderblight Ganon,"This phantom of Ganon attacked the Divine Beast Vah Naboris and was responsible for the demise of the Champion Urbosa. It specializes in quick, lightning-based attacks.",Divine Beast Vah Naboris,None
160,https://www.zeldadungeon.net/wiki/images/thumb/4/4c/Fireblight-ganon.jpg/72px-Fireblight-ganon.jpg,Fireblight Ganon,This phantom of Ganon attacked the Divine Beast Vah Rudania and was responsible for the demise of the Champion Daruk. It attacks with a greatsword and fire magic.,Divine Beast Vah Rudania,None
161,https://www.zeldadungeon.net/wiki/images/thumb/1/19/Waterblight-ganon.jpg/72px-Waterblight-ganon.jpg,Waterblight Ganon,This phantom of Ganon attacked the Divine Beast Vah Ruta and was responsible for the demise of the Champion Mipha. It attacks with a spear and ice magic.,Divine Beast Vah Ruta,None
162,https://www.zeldadungeon.net/wiki/images/thumb/d/d9/Windblight-ganon-2.jpg/72px-Windblight-ganon-2.jpg,Windblight Ganon,This phantom of Ganon attacked the Divine Beast Vah Medoh and was responsible for the demise of the Champion Revali. It specializes in long-ranged wind attacks.,Divine Beast Vah Medoh,None
163,https://www.zeldadungeon.net/wiki/images/thumb/a/a0/Calamity-ganon.jpg/72px-Calamity-ganon.jpg,Calamity Ganon,"The source of the darkness that has appeared time and again throughout Hyrule's history. It's been called many names, from ""Great King of Evil"" to ""Calamity."" Hibernating within a cocoon, it attempted to regenerate a physical form after Link awoke but was forced to confront him in an incomplete state.",Hyrule Castle,None
164,https://www.zeldadungeon.net/wiki/images/thumb/d/d9/Dark-beast-ganon.jpg/72px-Dark-beast-ganon.jpg,Dark Beast Ganon,"After Ganon was defeated by Link, the remaining Malice pulled itself together to form this bestial creature. Its appearance and fiendish magic earned it the name of Dark Beast. This form is considered to be Ganon's original, although in this state, his awareness has been consumed entirely by Malice, and all he knows is a desire to rampage and destroy.",Hyrule Field,None
